emirate,plate_number,plate_code,price,first_seen,last_seen,status,sold_at
Ras Al Khaimah,7706,D,16900,2026-03-09T07:01:37.555148Z,2026-06-17T10:53:45.731821Z,sold,2026-06-21T09:49:07.356628Z
Ras Al Khaimah,1404,Y,16900,2026-03-09T07:01:37.555148Z,2026-03-25T07:01:59.854896Z,sold,2026-03-29T07:02:43.619449Z
Ras Al Khaimah,1554,D,16900,2026-06-21T09:49:07.356628Z,2026-07-13T09:24:41.319331Z,sold,2026-07-17T08:08:08.457549Z
Ras Al Khaimah,4332,K,16900,2026-06-21T09:49:07.356628Z,2026-06-21T09:49:07.356628Z,sold,2026-06-25T09:20:04.682904Z
Ras Al Khaimah,6630,X,16900,2026-06-21T09:49:07.356628Z,2026-07-13T09:24:41.319331Z,sold,2026-07-17T08:08:08.457549Z
Ras Al Khaimah,6077,Z,16900,2026-06-21T09:49:07.356628Z,2026-07-13T09:24:41.319331Z,sold,2026-07-17T08:08:08.457549Z
Ras Al Khaimah,1505,Z,16900,2026-06-21T09:49:07.356628Z,2026-07-05T08:51:00.960086Z,sold,2026-07-09T09:37:13.410439Z
Ras Al Khaimah,5110,Y,16900,2026-06-21T09:49:07.356628Z,2026-07-13T09:24:41.319331Z,sold,2026-07-17T08:08:08.457549Z
Ras Al Khaimah,6099,Z,16900,2026-06-21T09:49:07.356628Z,2026-07-13T09:24:41.319331Z,sold,2026-07-17T08:08:08.457549Z
Ras Al Khaimah,8011,N,16900,2026-07-17T08:08:08.457549Z,2026-08-17T06:52:30.826773Z,available,
Ras Al Khaimah,4243,S,16900,2026-07-17T08:08:08.457549Z,2026-08-05T08:33:48.900330Z,sold,2026-08-09T06:54:20.425499Z
Ras Al Khaimah,6101,D,16900,2026-07-17T08:08:08.457549Z,2026-08-01T08:19:16.373088Z,sold,2026-08-05T08:33:48.900330Z
Ras Al Khaimah,1880,I,16900,2026-07-17T08:08:08.457549Z,2026-07-17T08:08:08.457549Z,sold,2026-07-21T08:26:36.002074Z
Ras Al Khaimah,77887,I,16900,2026-07-17T08:08:08.457549Z,2026-07-17T08:08:08.457549Z,sold,2026-07-21T08:26:36.002074Z
Ras Al Khaimah,69966,I,16900,2026-07-17T08:08:08.457549Z,2026-07-25T08:04:35.361075Z,sold,2026-07-29T08:38:38.549005Z
Ras Al Khaimah,4047,M,16400,2025-12-23T20:41:24.173048Z,2025-12-23T20:41:24.173048Z,sold,2026-01-14T19:00:52.915072Z
Ras Al Khaimah,2721,I,16400,2026-03-09T07:01:37.555148Z,2026-06-17T10:53:45.731821Z,sold,2026-06-21T09:49:07.356628Z
Ras Al Khaimah,6707,Y,16400,2026-03-09T07:01:37.555148Z,2026-06-17T10:53:45.731821Z,sold,2026-06-21T09:49:07.356628Z
Ras Al Khaimah,2343,X,16400,2026-03-09T07:01:37.555148Z,2026-04-09T07:21:51.438994Z,sold,2026-04-13T08:02:50.477439Z
Ras Al Khaimah,1544,V,16400,2026-03-09T07:01:37.555148Z,2026-03-25T07:01:59.854896Z,sold,2026-03-29T07:02:43.619449Z
Ras Al Khaimah,5141,Y,16400,2026-03-09T07:01:37.555148Z,2026-06-17T10:53:45.731821Z,sold,2026-06-21T09:49:07.356628Z
Ras Al Khaimah,6654,N,16400,2026-06-21T09:49:07.356628Z,2026-07-09T09:37:13.410439Z,sold,2026-07-13T09:24:41.319331Z
Ras Al Khaimah,2505,I,16400,2026-06-21T09:49:07.356628Z,2026-07-13T09:24:41.319331Z,sold,2026-07-17T08:08:08.457549Z
Ras Al Khaimah,6711,I,16400,2026-06-21T09:49:07.356628Z,2026-07-01T09:43:32.487231Z,sold,2026-07-05T08:51:00.960086Z
Ras Al Khaimah,1178,V,16400,2026-06-21T09:49:07.356628Z,2026-07-13T09:24:41.319331Z,sold,2026-07-17T08:08:08.457549Z
Ras Al Khaimah,7898,V,16400,2026-06-21T09:49:07.356628Z,2026-07-13T09:24:41.319331Z,sold,2026-07-17T08:08:08.457549Z
Ras Al Khaimah,9877,Z,16400,2026-06-21T09:49:07.356628Z,2026-07-13T09:24:41.319331Z,sold,2026-07-17T08:08:08.457549Z
Ras Al Khaimah,3023,N,16400,2026-07-17T08:08:08.457549Z,2026-08-17T06:52:30.826773Z,available,
Ras Al Khaimah,5520,S,16400,2026-07-17T08:08:08.457549Z,2026-08-17T06:52:30.826773Z,available,
Ras Al Khaimah,3121,D,16400,2026-07-17T08:08:08.457549Z,2026-08-05T08:33:48.900330Z,sold,2026-08-09T06:54:20.425499Z
Ras Al Khaimah,6619,I,16400,2026-07-17T08:08:08.457549Z,2026-08-17T06:52:30.826773Z,available,
Ras Al Khaimah,1787,Y,16400,2026-07-17T08:08:08.457549Z,2026-08-17T06:52:30.826773Z,available,
Ras Al Khaimah,8776,X,16400,2026-07-17T08:08:08.457549Z,2026-08-05T08:33:48.900330Z,sold,2026-08-09T06:54:20.425499Z
Ras Al Khaimah,6990,Z,16400,2026-07-17T08:08:08.457549Z,2026-08-09T06:54:20.425499Z,sold,2026-08-13T07:24:34.286314Z
Ras Al Khaimah,1229,Z,16400,2026-07-17T08:08:08.457549Z,2026-07-25T08:04:35.361075Z,sold,2026-07-29T08:38:38.549005Z
Ras Al Khaimah,4432,Z,16400,2026-07-17T08:08:08.457549Z,2026-08-05T08:33:48.900330Z,sold,2026-08-09T06:54:20.425499Z
Ras Al Khaimah,9924,C,15900,2025-12-23T20:41:24.173048Z,2026-03-01T06:45:20.846014Z,sold,2026-03-05T06:52:24.970137Z
Ras Al Khaimah,5503,N,15900,2025-12-23T20:41:24.173048Z,2025-12-23T20:41:24.173048Z,sold,2026-01-14T19:00:52.915072Z
Ras Al Khaimah,5532,S,15900,2025-12-23T20:41:24.173048Z,2026-03-01T06:45:20.846014Z,sold,2026-03-05T06:52:24.970137Z
Ras Al Khaimah,3380,S,15900,2025-12-23T20:41:24.173048Z,2025-12-23T20:41:24.173048Z,sold,2026-01-14T19:00:52.915072Z
Ras Al Khaimah,6133,S,15900,2025-12-23T20:41:24.173048Z,2025-12-23T20:41:24.173048Z,sold,2026-01-14T19:00:52.915072Z
Ras Al Khaimah,4094,D,15900,2025-12-23T20:41:24.173048Z,2026-03-01T06:45:20.846014Z,sold,2026-03-05T06:52:24.970137Z
Ras Al Khaimah,8799,I,15900,2025-12-23T20:41:24.173048Z,2026-02-09T07:03:54.809176Z,sold,2026-02-13T06:59:25.296667Z
Ras Al Khaimah,2216,V,15900,2025-12-23T20:41:24.173048Z,2026-03-01T06:45:20.846014Z,sold,2026-03-05T06:52:24.970137Z
Ras Al Khaimah,2280,Y,15900,2025-12-23T20:41:24.173048Z,2025-12-23T20:41:24.173048Z,sold,2026-01-14T19:00:52.915072Z
Ras Al Khaimah,5085,Y,15900,2025-12-23T20:41:24.173048Z,2026-03-01T06:45:20.846014Z,sold,2026-03-05T06:52:24.970137Z
Ras Al Khaimah,56056,M,15900,2026-03-09T07:01:37.555148Z,2026-06-17T10:53:45.731821Z,sold,2026-06-21T09:49:07.356628Z
Ras Al Khaimah,8330,K,15900,2026-03-09T07:01:37.555148Z,2026-06-17T10:53:45.731821Z,sold,2026-06-21T09:49:07.356628Z
Ras Al Khaimah,4223,X,15900,2026-03-09T07:01:37.555148Z,2026-03-09T07:01:37.555148Z,sold,2026-03-13T06:53:47.771080Z
Ras Al Khaimah,1163,X,15900,2026-03-09T07:01:37.555148Z,2026-03-09T07:01:37.555148Z,sold,2026-03-13T06:53:47.771080Z
Ras Al Khaimah,6330,Y,15900,2026-06-21T09:49:07.356628Z,2026-07-13T09:24:41.319331Z,sold,2026-07-17T08:08:08.457549Z
Ras Al Khaimah,2303,Z,15900,2026-07-17T08:08:08.457549Z,2026-08-05T08:33:48.900330Z,sold,2026-08-09T06:54:20.425499Z
Ras Al Khaimah,3412,I,15500,2025-12-23T20:41:24.173048Z,2026-02-25T07:01:53.093647Z,sold,2026-03-01T06:45:20.846014Z
Ras Al Khaimah,5184,I,15500,2025-12-23T20:41:24.173048Z,2026-03-01T06:45:20.846014Z,sold,2026-03-05T06:52:24.970137Z
Ras Al Khaimah,5423,S,15500,2026-07-17T08:08:08.457549Z,2026-08-17T06:52:30.826773Z,available,
Ras Al Khaimah,9709,N,15400,2026-03-09T07:01:37.555148Z,2026-06-17T10:53:45.731821Z,sold,2026-06-21T09:49:07.356628Z
Ras Al Khaimah,6933,S,15400,2026-03-09T07:01:37.555148Z,2026-06-17T10:53:45.731821Z,sold,2026-06-21T09:49:07.356628Z
Ras Al Khaimah,8804,X,15400,2026-03-09T07:01:37.555148Z,2026-05-21T09:38:54.612686Z,sold,2026-05-25T10:04:16.802202Z
Ras Al Khaimah,7716,Z,15400,2026-03-09T07:01:37.555148Z,2026-06-17T10:53:45.731821Z,sold,2026-06-21T09:49:07.356628Z
Ras Al Khaimah,2204,D,15400,2026-06-21T09:49:07.356628Z,2026-06-29T10:57:40.217460Z,sold,2026-07-01T09:43:32.487231Z
Ras Al Khaimah,2171,I,15400,2026-06-21T09:49:07.356628Z,2026-07-13T09:24:41.319331Z,sold,2026-07-17T08:08:08.457549Z
Ras Al Khaimah,4133,S,15400,2026-07-17T08:08:08.457549Z,2026-08-17T06:52:30.826773Z,available,
Ras Al Khaimah,9611,X,15400,2026-07-17T08:08:08.457549Z,2026-08-17T06:52:30.826773Z,available,
Ras Al Khaimah,33321,X,14900,2026-03-09T07:01:37.555148Z,2026-03-09T07:01:37.555148Z,sold,2026-03-13T06:53:47.771080Z
Ras Al Khaimah,56777,Y,14900,2026-06-21T09:49:07.356628Z,2026-07-13T09:24:41.319331Z,sold,2026-07-17T08:08:08.457549Z
